Evaluation-Run ID,UNIX Timestamp,Time Since Evaluation-Run Start,Disk Space Change Since Start,Disk Space Change Since Last Measurement,CPU Usage,Memory Usage,Network Received Since Start,Network Sent Since Start,Network Received Compared To Last Measurement,Network Sent Compared To Last Measurement,FLOps Project Stage
2,1722336704.4967005,0.858008623123169,5.06640625,5.06640625,27.4,67.0,0.07295703887939453,0.11117362976074219,0.07295703887939453,0.11117362976074219,Evaluation-Run Start
2,1722336709.5001862,5.861494302749634,5.8359375,0.76953125,13.0,66.9,0.8624563217163086,0.9591054916381836,0.7894992828369141,0.8479318618774414,FL-Actors Image Build
2,1722336714.5041416,10.865449666976929,212.203125,206.3671875,17.9,67.3,224.95231533050537,9.549365997314453,224.08985900878906,8.59026050567627,FL-Actors Image Build
2,1722336719.5082262,15.869534254074097,979.04296875,766.83984375,40.8,67.4,485.902455329895,18.344597816467285,260.95013999938965,8.795231819152832,FL-Actors Image Build
2,1722336724.5121446,20.87345266342163,1648.83984375,669.796875,31.2,67.4,742.7057867050171,26.812780380249023,256.80333137512207,8.468182563781738,FL-Actors Image Build
2,1722336729.518145,25.87945318222046,1971.65625,322.81640625,19.1,67.3,999.3948335647583,35.03892517089844,256.6890468597412,8.226144790649414,FL-Actors Image Build
2,1722336734.5241344,30.88544249534607,2211.7109375,240.0546875,15.3,67.3,1255.1638593673706,43.157527923583984,255.7690258026123,8.118602752685547,FL-Actors Image Build
2,1722336739.530654,35.8919620513916,2584.12109375,372.41015625,19.3,67.4,1331.736289024353,45.77108192443848,76.57242965698242,2.613554000854492,FL-Actors Image Build
2,1722336744.536141,40.897449016571045,3680.42578125,1096.3046875,30.1,67.2,1332.042293548584,46.059675216674805,0.30600452423095703,0.2885932922363281,FL-Actors Image Build
2,1722336749.5424635,45.90377163887024,4178.34765625,497.921875,23.5,67.2,1332.385241508484,46.3729190826416,0.34294795989990234,0.3132438659667969,FL-Actors Image Build
2,1722336754.549281,50.91058897972107,4535.9140625,357.56640625,22.4,67.7,1332.794672012329,46.75253868103027,0.40943050384521484,0.3796195983886719,FL-Actors Image Build
2,1722336759.5554924,55.9168004989624,4536.01953125,0.10546875,7.7,67.8,1333.131435394287,47.07737922668457,0.3367633819580078,0.3248405456542969,FL-Actors Image Build
2,1722336764.5602155,60.921523571014404,4536.31640625,0.296875,8.9,67.8,1333.51132106781,47.42922592163086,0.3798856735229492,0.35184669494628906,FL-Actors Image Build
2,1722336769.568133,65.92944121360779,4806.42578125,270.109375,29.5,67.9,1529.0838527679443,431.15495777130127,195.57253170013428,383.7257318496704,FL-Actors Image Build
2,1722336774.5721338,70.93344187736511,5203.0703125,396.64453125,38.8,68.0,1790.098801612854,944.2459506988525,261.01494884490967,513.0909929275513,FL-Actors Image Build
2,1722336779.5761435,75.93745160102844,5770.9375,567.8671875,45.0,68.0,2050.220034599304,1458.0784711837769,260.1212329864502,513.8325204849243,FL-Actors Image Build
2,1722336784.5801334,80.9414415359497,6014.734375,243.796875,23.7,68.1,2311.197889328003,1972.1087064743042,260.97785472869873,514.0302352905273,FL-Actors Image Build
2,1722336789.5845234,85.9458315372467,6400.29296875,385.55859375,22.1,68.1,2490.077181816101,2324.204975128174,178.87929248809814,352.09626865386963,FL-Actors Image Build
2,1722336794.5881417,90.94944977760315,7551.1640625,1150.87109375,35.9,68.1,2490.4760189056396,2324.569595336914,0.3988370895385742,0.3646202087402344,FL-Actors Image Build
2,1722336799.5939312,95.95523929595947,8197.15625,645.9921875,28.1,68.1,2490.8476066589355,2324.9170351028442,0.37158775329589844,0.3474397659301758,FL-Actors Image Build
2,1722336804.600244,100.96155214309692,8778.59375,581.4375,33.4,68.4,2491.288454055786,2325.3171615600586,0.44084739685058594,0.40012645721435547,FL-Actors Image Build
2,1722336809.604134,105.96544218063354,7701.58984375,-1077.00390625,20.9,68.3,2491.7064533233643,2325.692410469055,0.417999267578125,0.37524890899658203,FL-Actors Image Build
2,1722336814.60896,110.97026801109314,7701.67578125,0.0859375,20.8,69.0,2492.105607032776,2326.063900947571,0.3991537094116211,0.371490478515625,FL-Actors Image Build
2,1722336819.6121616,115.9734697341919,7701.75390625,0.078125,20.1,69.4,2492.5333757400513,2326.4394092559814,0.4277687072753906,0.37550830841064453,FL-Actors Image Build
2,1722336824.6161423,120.97745037078857,8674.28515625,972.53125,31.3,68.2,2555.1297245025635,2389.063003540039,62.59634876251221,62.62359428405762,FL-Actors Image Build
2,1722336829.6201406,125.98144865036011,8680.90625,6.62109375,65.6,68.5,3108.9138135910034,2943.682929992676,553.7840890884399,554.6199264526367,FL-Actors Image Build
2,1722336834.6241367,130.98544478416443,8746.0,65.09375,52.8,68.8,3449.0025396347046,3284.0633935928345,340.0887260437012,340.3804636001587,FL-Actors Image Build
2,1722336839.6285264,135.98983454704285,9304.34375,558.34375,18.8,68.7,3449.4190788269043,3284.44757938385,0.41653919219970703,0.384185791015625,FL-Actors Image Build
2,1722336844.6371217,140.99842977523804,9811.8671875,507.5234375,16.9,68.8,3449.8901777267456,3284.8666639328003,0.4710988998413086,0.4190845489501953,FL-Actors Image Build
2,1722336849.6401381,146.00144624710083,10135.26953125,323.40234375,64.9,68.9,4061.527545928955,3897.05637550354,611.6373682022095,612.1897115707397,FL-Actors Image Build
2,1722336854.6441367,151.00544476509094,8814.76953125,-1320.5,42.3,68.5,4740.867714881897,4576.950235366821,679.3401689529419,679.8938598632812,FL-Actors Image Build
2,1722336859.6481335,156.009441614151,8814.87890625,0.109375,20.4,68.6,4741.338889122009,4577.367491722107,0.4711742401123047,0.41725635528564453,FL-Actors Image Build
2,1722336864.6536984,161.0150065422058,8814.953125,0.07421875,20.9,70.4,4741.827527046204,4577.796068191528,0.48863792419433594,0.4285764694213867,FL-Actors Image Build
2,1722336869.6561623,166.01747035980225,8815.0390625,0.0859375,19.6,70.8,4742.248992919922,4578.1849727630615,0.4214658737182617,0.3889045715332031,FL-Actors Image Build
2,1722336874.6609788,171.02228689193726,8815.26171875,0.22265625,21.4,69.8,4742.769681930542,4578.647597312927,0.5206890106201172,0.46262454986572266,FL-Actors Image Build
2,1722336879.6669204,176.02822852134705,8815.34765625,0.0859375,20.4,70.4,4743.194806098938,4579.038649559021,0.4251241683959961,0.39105224609375,FL-Actors Image Build
2,1722336884.6721337,181.03344178199768,8815.42578125,0.078125,19.9,70.7,4743.67126083374,4579.458957672119,0.4764547348022461,0.42030811309814453,FL-Actors Image Build
2,1722336889.6761456,186.03745365142822,7747.81640625,-1067.609375,33.9,69.5,4377.721236228943,3445.914164543152,-365.95002460479736,-1133.5447931289673,FL-Actors Image Build
2,1722336894.6807134,191.04202151298523,6926.59765625,-821.21875,38.7,69.2,5840.948531150818,3446.4698791503906,1463.227294921875,0.5557146072387695,FL Training
2,1722336899.684167,196.04547500610352,7350.77734375,424.1796875,41.3,69.1,5903.174622535706,3448.8438863754272,62.226091384887695,2.374007225036621,FL Training
2,1722336904.688149,201.04945707321167,8824.7109375,1473.93359375,92.0,67.4,6157.457081794739,3455.7459678649902,254.2824592590332,6.902081489562988,FL Training
2,1722336909.693488,206.0547959804535,9404.2734375,579.5625,83.5,67.4,6281.797221183777,3459.2046060562134,124.34013938903809,3.4586381912231445,FL Training
2,1722336914.7001443,211.06145238876343,10844.99609375,1440.72265625,70.9,67.6,6282.375930786133,3459.7108812332153,0.578709602355957,0.5062751770019531,FL Training
2,1722336919.7066362,216.06794428825378,11870.5859375,1025.58984375,68.8,67.8,6282.921274185181,3460.221438407898,0.5453433990478516,0.5105571746826172,FL Training
2,1722336924.7121458,221.07345390319824,13420.37109375,1549.78515625,82.9,68.6,6283.651158332825,3460.8717832565308,0.729884147644043,0.6503448486328125,FL Training
2,1722336929.7269793,226.08828735351562,15339.5546875,1919.18359375,74.3,69.6,6284.362867355347,3461.5014305114746,0.7117090225219727,0.6296472549438477,FL Training
2,1722336934.733758,231.09506607055664,15669.3828125,329.828125,43.1,70.3,6284.92271232605,3462.0174560546875,0.559844970703125,0.5160255432128906,FL Training
2,1722336939.7401383,236.10144639015198,16328.7109375,659.328125,53.6,71.0,6285.546183586121,3462.584716796875,0.6234712600708008,0.5672607421875,FL Training
2,1722336944.744144,241.10545206069946,17330.19921875,1001.48828125,67.0,71.1,6286.313448905945,3463.239562034607,0.7672653198242188,0.6548452377319336,FL Training
2,1722336949.7506807,246.1119887828827,13966.03515625,-3364.1640625,72.1,70.4,6287.101180076599,3463.9254026412964,0.7877311706542969,0.6858406066894531,FL Training
2,1722336954.756198,251.11750602722168,13051.23046875,-914.8046875,73.0,70.5,6287.8061265945435,3464.562831878662,0.7049465179443359,0.6374292373657227,FL Training
2,1722336959.764199,256.12550711631775,13637.1171875,585.88671875,36.2,70.5,6288.437808036804,3465.13764667511,0.6316814422607422,0.5748147964477539,FL Training
2,1722336964.7698834,261.1311914920807,14626.84765625,989.73046875,73.1,71.0,6289.290123939514,3465.8585166931152,0.8523159027099609,0.7208700180053711,FL Training
2,1722336969.7761564,266.13746452331543,12291.26953125,-2335.578125,69.1,74.1,6290.409127235413,3466.921606063843,1.1190032958984375,1.063089370727539,FL Training
2,1722336974.7801442,271.1414523124695,11397.62890625,-893.640625,65.3,80.0,6425.447434425354,3602.1013040542603,135.0383071899414,135.17969799041748,FL Training
2,1722336979.784989,276.1462972164154,11397.578125,-0.05078125,87.2,89.6,6427.138647079468,3603.754179954529,1.6912126541137695,1.6528759002685547,FL Training
2,1722336984.9201427,281.2814507484436,11397.82421875,0.24609375,100.0,89.4,6428.620267868042,3605.0821571350098,1.4816207885742188,1.327977180480957,FL Training
2,1722336989.925138,286.28644609451294,11397.375,-0.44921875,100.0,89.4,6429.700717926025,3606.0259914398193,1.0804500579833984,0.9438343048095703,FL Training
2,1722336994.9281728,291.2894809246063,11397.59765625,0.22265625,100.0,89.7,6430.900387763977,3607.127812385559,1.1996698379516602,1.101820945739746,FL Training
2,1722336999.9355738,296.2968819141388,11397.828125,0.23046875,100.0,89.7,6432.2516412734985,3608.305848121643,1.3512535095214844,1.1780357360839844,FL Training
2,1722337004.9401426,301.3014507293701,11398.1015625,0.2734375,100.0,89.7,6433.405646324158,3609.3821477890015,1.1540050506591797,1.0762996673583984,FL Training
2,1722337009.945513,306.3068211078644,11398.4765625,0.375,84.0,82.9,6436.377144813538,3612.2335996627808,2.971498489379883,2.851451873779297,FL Training
2,1722337014.9521432,311.3134512901306,11398.71484375,0.23828125,74.3,90.1,6438.351622581482,3614.3836250305176,1.974477767944336,2.1500253677368164,FL Training
2,1722337019.9577136,316.31902170181274,11398.94140625,0.2265625,100.0,90.0,6439.782393455505,3615.6192150115967,1.4307708740234375,1.2355899810791016,FL Training
2,1722337024.9641495,321.325457572937,11399.1640625,0.22265625,100.0,90.1,6441.131906509399,3616.768527030945,1.349513053894043,1.1493120193481445,FL Training
2,1722337029.9698844,326.3311924934387,11399.37109375,0.20703125,100.0,90.1,6442.382648468018,3617.929733276367,1.250741958618164,1.1612062454223633,FL Training
2,1722337034.9761398,331.3374478816986,11399.6015625,0.23046875,100.0,90.1,6443.786733627319,3619.124668121338,1.4040851593017578,1.1949348449707031,FL Training
2,1722337039.9822538,336.3435618877411,11399.8671875,0.265625,100.0,90.1,6444.955368041992,3620.194272041321,1.1686344146728516,1.0696039199829102,FL Training
2,1722337044.9881873,341.3494954109192,11400.1015625,0.234375,84.2,83.5,6447.930926322937,3622.9902486801147,2.975558280944824,2.7959766387939453,FL Training
2,1722337049.992152,346.35346007347107,11399.37109375,-0.73046875,91.4,90.0,6449.684807777405,3624.567551612854,1.7538814544677734,1.5773029327392578,FL Training
2,1722337054.9961455,351.357453584671,11399.58984375,0.21875,100.0,90.0,6451.40487575531,3626.1572093963623,1.7200679779052734,1.5896577835083008,FL Training
2,1722337060.000152,356.3614602088928,11399.828125,0.23828125,100.0,90.0,6452.931734085083,3627.4481620788574,1.5268583297729492,1.2909526824951172,FL Training
2,1722337065.0068872,361.36819529533386,11400.05078125,0.22265625,100.0,89.9,6454.141221046448,3628.5457725524902,1.209486961364746,1.0976104736328125,FL Training
2,1722337070.0126565,366.37396454811096,11400.29296875,0.2421875,100.0,90.1,6455.72013759613,3629.887879371643,1.5789165496826172,1.342106819152832,FL Training
2,1722337075.0178068,371.3791148662567,11400.51953125,0.2265625,77.6,90.0,6459.251351356506,3633.4933643341064,3.5312137603759766,3.605484962463379,FL Training
2,1722337080.0241477,376.3854558467865,11399.8828125,-0.63671875,100.0,90.0,6461.214109420776,3635.3304014205933,1.9627580642700195,1.8370370864868164,FL Training
2,1722337085.0298946,381.39120268821716,11400.109375,0.2265625,100.0,90.0,6462.835622787476,3636.6927452087402,1.6215133666992188,1.3623437881469727,FL Training
2,1722337090.0361445,386.39745259284973,11400.328125,0.21875,100.0,90.1,6464.120543479919,3637.8576831817627,1.2849206924438477,1.164937973022461,FL Training
2,1722337095.0422688,391.4035768508911,11400.55859375,0.23046875,100.0,90.1,6465.779337882996,3639.246739387512,1.6587944030761719,1.3890562057495117,FL Training
2,1722337100.048136,396.4094440937042,11400.76953125,0.2109375,89.2,83.5,6468.874886512756,3642.1360273361206,3.095548629760742,2.8892879486083984,FL Training
2,1722337105.0561419,401.4174499511719,11401.03125,0.26171875,88.1,90.0,6471.139636993408,3644.2603693008423,2.2647504806518555,2.1243419647216797,FL Training
2,1722337110.0637727,406.4250807762146,11401.25390625,0.22265625,100.0,90.0,6472.801124572754,3645.639768600464,1.6614875793457031,1.379399299621582,FL Training
2,1722337115.0682385,411.42954659461975,11401.47265625,0.21875,100.0,90.0,6474.450656890869,3647.0206260681152,1.6495323181152344,1.3808574676513672,FL Training
2,1722337120.072143,416.4334511756897,11401.69921875,0.2265625,100.0,90.0,6475.924156188965,3648.323875427246,1.4734992980957031,1.3032493591308594,FL Training
