Evaluation-Run,Accuracy,Loss
1,0.7760833333333333,0.7174510359764099
2,0.81425,0.6067861318588257
3,0.77275,0.7160616219043732
4,0.8267916666666667,0.5639660954475403
5,0.811,0.6200148165225983
6,0.8061666666666667,0.640483021736145
7,0.8267916666666667,0.5639660954475403
