Evaluation-Run ID,UNIX Timestamp,Time Since Evaluation-Run Start,Disk Space Change Since Start,Disk Space Change Since Last Measurement,CPU Usage,Memory Usage,Network Received Since Start,Network Sent Since Start,Network Received Compared To Last Measurement,Network Sent Compared To Last Measurement,FLOps Project Stage
2,1723208547.1287663,0.8198690414428711,-0.078125,-0.078125,27.0,33.3,0.002323150634765625,0.001865386962890625,0.002323150634765625,0.001865386962890625,Evaluation-Run Start
2,1723208552.1347141,5.825816869735718,0.109375,0.1875,12.3,33.3,0.6933660507202148,0.4519834518432617,0.6910429000854492,0.4501180648803711,Project Start
2,1723208557.1415193,10.832622051239014,0.0703125,-0.0390625,6.2,33.2,1.075148582458496,0.5690374374389648,0.38178253173828125,0.11705398559570312,FL-Actors Image-Builder Deployment
2,1723208562.1485019,15.839604616165161,0.12109375,0.05078125,2.7,33.2,1.2271690368652344,0.7024335861206055,0.15202045440673828,0.13339614868164062,FL-Actors Image-Builder Deployment
2,1723208567.1545956,20.845698356628418,0.140625,0.01953125,4.7,33.2,1.4073905944824219,0.8581247329711914,0.1802215576171875,0.15569114685058594,FL-Actors Image-Builder Deployment
2,1723208572.162162,25.853264808654785,0.15625,0.015625,2.4,33.2,1.5296173095703125,0.9682502746582031,0.12222671508789062,0.11012554168701172,FL-Actors Image-Builder Deployment
2,1723208577.1689842,30.860086917877197,0.16796875,0.01171875,3.5,33.2,1.7032957077026367,1.1152429580688477,0.17367839813232422,0.14699268341064453,FL-Actors Image-Builder Deployment
2,1723208582.1748354,35.86593818664551,0.2265625,0.05859375,3.4,33.3,1.8371658325195312,1.2338037490844727,0.13387012481689453,0.118560791015625,FL-Actors Image-Builder Deployment
2,1723208587.1816823,40.87278509140015,0.1796875,-0.046875,3.1,33.2,2.1058998107910156,1.3868331909179688,0.2687339782714844,0.1530294418334961,FL-Actors Image-Builder Deployment
2,1723208592.1877835,45.878886222839355,0.09375,-0.0859375,4.0,33.2,2.3006839752197266,1.547410011291504,0.19478416442871094,0.16057682037353516,FL-Actors Image-Builder Deployment
2,1723208597.1929748,50.88407754898071,0.109375,0.015625,1.9,33.2,2.438711166381836,1.6683406829833984,0.13802719116210938,0.12093067169189453,FL-Actors Image-Builder Deployment
2,1723208602.1984642,55.88956689834595,0.12109375,0.01171875,3.3,33.2,2.642306327819824,1.8353080749511719,0.20359516143798828,0.16696739196777344,FL-Actors Image-Builder Deployment
2,1723208607.2050822,60.89618492126465,0.32421875,0.203125,3.2,33.2,2.845235824584961,1.9997367858886719,0.20292949676513672,0.1644287109375,FL-Actors Image-Builder Deployment
